fecha,A078,N078,E055,A707,Q119,Q104,A705,Q118,N045,A706
2014-06-30,,55.4,42.6,70.4,55.0,61.3,67.7,42.0,60.6,65.7
2014-07-31,,51.0,53.8,85.5,46.3,61.7,107.8,65.6,51.5,85.7
2014-08-31,,61.9,30.0,68.1,38.6,2.2,63.2,53.6,56.7,56.2
2014-09-30,,62.3,12.4,45.6,35.2,16.6,19.0,21.8,35.9,21.0
2014-10-31,,82.5,66.0,78.9,51.9,59.0,67.4,74.0,74.1,58.1
2014-11-30,66.6,152.8,125.5,189.9,173.1,147.4,217.1,223.2,399.3,189.7
2014-12-31,229.5,183.9,165.4,371.2,283.7,220.7,283.3,171.1,214.5,80.0
2015-01-31,268.4,202.9,211.8,372.8,296.8,279.3,386.0,239.5,278.9,569.6
2015-02-28,376.0,412.5,299.5,489.1,359.9,338.7,495.4,305.4,445.9,733.3
2015-03-31,163.3,212.1,70.3,287.6,165.4,197.1,227.4,174.3,196.1,223.2
2015-04-30,73.4,57.0,35.9,109.5,60.5,35.6,56.2,40.0,48.9,55.7
2015-05-31,25.3,41.8,25.1,60.2,26.8,46.9,61.2,38.7,240.8,60.0
2015-06-30,31.6,38.8,35.4,36.7,35.8,0.9,25.7,26.4,36.1,33.3
2015-07-31,35.1,46.3,66.4,21.4,21.9,41.2,82.4,55.5,68.3,46.9
2015-08-31,54.4,52.6,22.1,2.0,29.7,29.2,52.9,49.2,68.5,44.1
2015-09-30,44.6,68.1,36.5,4.6,34.3,47.3,40.6,96.9,87.6,71.7
2015-10-31,117.3,133.4,59.7,140.2,84.8,6.6,81.8,86.0,162.1,139.8
2015-11-30,144.8,165.5,134.1,214.8,166.5,202.9,203.7,110.2,164.7,240.0
2015-12-31,16.6,20.3,18.0,20.3,15.2,22.9,24.0,24.2,26.7,11.4
2016-01-31,111.0,110.0,72.8,126.5,74.6,110.4,122.7,106.6,128.3,165.0
2016-02-29,290.6,293.7,230.9,361.6,229.5,353.8,388.2,267.1,352.2,516.3
2016-03-31,277.7,223.8,204.5,261.2,204.9,406.9,352.1,175.3,223.8,367.9
2016-04-30,63.2,111.1,66.2,132.4,107.8,139.6,108.9,64.1,78.2,108.8
2016-05-31,53.6,62.6,49.2,67.5,55.4,71.8,74.4,62.4,61.5,62.9
2016-06-30,66.2,77.4,34.2,70.2,51.6,43.2,62.1,74.8,85.2,47.9
2016-07-31,24.9,43.9,59.5,53.3,46.9,59.0,54.1,47.3,47.9,33.2
2016-08-31,30.1,26.7,27.8,36.2,17.1,35.5,33.4,18.7,23.3,30.8
2016-09-30,5.6,55.0,50.5,73.5,31.8,65.9,113.4,107.6,145.7,151.2
2016-10-31,31.1,78.1,38.2,69.9,39.2,34.7,49.7,44.0,29.9,28.5
2016-11-30,189.9,250.1,152.1,228.2,150.9,200.3,246.7,230.1,291.3,206.0
2016-12-31,18.4,44.0,34.9,55.1,28.8,32.3,43.9,38.7,41.3,37.7
2017-01-31,95.4,142.2,168.6,229.0,108.4,169.2,236.0,103.2,148.6,303.5
2017-02-28,76.7,101.6,66.6,93.2,34.2,57.4,127.0,76.2,91.6,156.7
2017-03-31,59.5,62.4,62.5,65.2,27.2,74.8,106.2,73.7,81.7,35.8
2017-04-30,51.5,78.6,60.1,86.7,41.8,52.1,92.1,62.3,67.3,74.4
2017-05-31,77.3,34.0,69.9,69.5,74.9,75.4,130.1,95.1,80.1,98.2
2017-06-30,53.3,20.7,79.9,88.1,19.3,86.7,109.1,78.6,96.0,87.6
2017-07-31,15.8,50.0,55.1,65.3,26.1,64.4,83.1,46.7,52.1,58.0
2017-08-31,80.7,111.6,59.0,104.7,60.6,69.5,95.3,74.9,93.6,76.7
2017-09-30,72.4,132.3,150.9,140.2,48.0,151.9,241.1,200.4,207.8,153.9
2017-10-31,15.6,23.0,16.1,10.8,15.9,34.4,26.3,30.6,32.8,25.6
2017-11-30,214.4,261.9,258.9,210.0,199.4,283.7,334.7,172.1,180.7,298.4
2017-12-31,235.2,295.3,256.2,303.3,209.6,268.2,331.0,305.4,321.7,447.6
2018-01-31,136.5,143.9,147.9,169.3,116.3,148.5,186.9,184.8,219.2,269.8
2018-02-28,306.1,346.4,257.1,442.1,222.2,278.6,357.4,279.3,325.0,401.4
2018-03-31,247.0,233.2,162.8,237.1,120.0,151.5,216.6,160.7,195.4,298.4
2018-04-30,91.1,126.8,67.9,125.0,92.7,93.2,145.6,133.6,110.3,127.7
2018-05-31,74.4,133.9,132.0,142.1,91.1,113.7,154.0,106.7,111.2,135.3
2018-06-30,94.9,124.3,76.7,116.4,48.9,82.7,85.0,79.4,65.7,117.0
2018-07-31,145.2,133.6,170.9,123.4,105.4,216.4,165.3,194.3,220.6,67.8
2018-08-31,34.2,92.7,53.5,76.5,27.8,58.4,63.9,50.5,48.7,20.6
2018-09-30,80.9,72.1,19.7,60.6,19.2,15.0,36.7,16.3,29.7,27.6
2018-10-31,154.4,177.9,128.6,164.1,111.6,155.9,124.7,151.4,187.0,198.0
2018-11-30,93.2,123.3,134.4,108.8,78.4,161.8,168.9,122.1,129.0,123.4
2018-12-31,25.3,28.2,25.9,27.2,21.2,23.1,35.5,46.4,63.4,42.7
2019-01-31,377.5,382.3,302.1,516.3,267.3,348.5,435.5,242.3,296.8,589.5
2019-02-28,102.9,65.1,44.6,88.3,49.9,54.7,52.9,49.1,54.2,111.2
2019-03-31,30.7,52.2,44.0,67.3,30.4,49.1,65.8,54.3,75.1,83.6
2019-04-30,80.3,78.5,105.9,92.5,74.1,81.0,115.9,101.4,119.9,123.5
2019-05-31,41.8,60.7,58.4,82.0,34.4,48.6,100.1,71.4,117.8,106.7
